datetime,username,event
2019-12-06 00:26:10.061210,saviesavie,success
2019-12-06 00:26:09.418115,saviesavie,attempt
2019-12-06 00:26:08.975029,button,click
2019-12-06 00:16:37.018572,saviesavie,success
2019-12-06 00:16:36.333740,saviesavie,attempt
2019-12-06 00:16:35.906526,button,click
2019-12-06 00:12:41.916665,saviesavie,success
2019-12-06 00:12:41.260917,saviesavie,attempt
2019-12-06 00:12:40.846049,button,click
2019-12-06 00:08:09.669347,saviesavie,success
2019-12-06 00:08:08.953008,saviesavie,attempt
2019-12-06 00:08:08.424203,button,click
2019-12-06 00:07:05.411144,saviesavie,success
2019-12-06 00:07:04.364914,saviesavie,attempt
2019-12-06 00:07:03.875506,button,click
2019-12-06 00:06:38.206378,saviesavie,success
2019-12-06 00:06:37.510695,saviesavie,attempt
2019-12-06 00:06:31.448600,button,click
2019-12-05 22:21:11.551376,button,click
